"1";"Jaragua do Sul";"Anhanguera";"0";"1";"5000";"1"
"2";"Jaragua do Sul1";"Anhanguera1";"1";"0";"5000";"2"
"3";"Jaragua do Sul2";"Anhanguera2";"2";"2";"5000";"3"
"4";"Jaragua do Sul3";"Anhanguera3";"0";"3";"5000";"4"
"5";"Jaragua do Sul4";"Anhanguera4";"1";"4";"5000";"5"
"6";"Jaragua do Sul5";"Anhanguera5";"2";"0";"5000";"6"
"7";"Jaragua do Sul6";"Anhanguera6";"0";"1";"5000";"7"
"8";"Jaragua do Sul7";"Anhanguera7";"1";"2";"5000";"8"
"9";"Jaragua do Sul8";"Anhanguera8";"2";"3";"5000";"9"
"10";"Jaragua do Sul9";"Anhanguera9";"0";"4";"5000";"10"
